anio,mes,tm_mes
2021,10,16.45
2021,11,10.625
2021,12,11.524999999999999
2021,6,17.95
2021,7,19.925
2021,8,20.9
2021,9,19.55
2022,1,9.325
2022,10,17.633333333333336
2022,11,12.866666666666667
2022,12,11.799999999999999
2022,2,10.725000000000001
2022,3,11.750000000000002
2022,4,12.950000000000001
2022,5,17.875
2022,6,18.7
2022,7,22.975
2022,8,22.424999999999997
2022,9,19.2
2023,1,9.0
2023,10,17.95
2023,11,13.225000000000001
2023,12,9.700000000000001
2023,2,9.675
2023,3,13.05
2023,4,15.424999999999999
2023,5,17.325
2023,6,20.85
2023,7,21.175
2023,8,22.450000000000003
2023,9,20.349999999999998
2024,1,10.6
2024,10,17.0
2024,11,14.8
2024,12,9.725
2024,2,11.975000000000001
2024,3,11.45
2024,4,14.65
2024,5,15.3
2024,6,18.85
2024,7,21.625000000000004
2024,8,22.6
2024,9,18.0
2025,1,10.399999999999999
2025,2,11.200000000000001
2025,3,11.525
2025,4,15.05
2025,5,16.575